# Original data is from the International Atomic Energy Agency (IAEA) Nuclear Data Services (https://www-nds.iaea.org). The data was processed by speedydelete.
z,n,symbol,radius,mass,abundance,halfLife,halfLifeOperator,decay1,decay1Prob,decay2,decay2Prob,decay3,decay3Prob,magneticDipoleMoment,betaMinusEnergy,neutronEnergy,alphaEnergy,electronCaptureEnergy
52,72,Te,4.7183,123.9028183,0.0474,stable,,,,,,,,0.66,-3159.587,-10652.8719,-1851.3168,-2905.073
52,73,Te,4.7204,124.9044312,0.0707,stable,,,,,,,,-0.887,-185.77,-9728.5572,-2250.0837,-766.7
52,74,Te,4.7266,125.9033121,0.1884,stable,,,,,,,,,-2153.6712,-9299.4618,-2549.1306,-3671.033
52,75,Te,null,126.905227,,33660,,B-,100,,,,,0.635,702.7199,-8441.3184,-2890.7301,-1582.203
52,76,Te,4.7346,127.9044612,0.3174,2.43E+32,,2B-,100,,,,,0.64,-1255.7634,-8081.8949,-3187.234,-4363.942
52,77,Te,null,128.9065964,,4176,,B-,100,,,,,0.702,1502.2919,-7338.1721,-3536.1428,-2375.5
52,78,Te,4.7423,129.9062227,0.3408,2.49E+28,>,2B-,100,,,,,0.7,-416.7716,-6917.1016,-3762.74,-5067.273
52,79,Te,null,130.9085222,,1500,,B-,100,,,,,0.696,2231.7057,-6346.1516,-4166.3596,-3229.61
52,80,Te,4.75,131.9085467,,276825.6,,B-,100,,,,,4.7,515.3046,-5816.7879,-4251.6832,-5552.915
52,81,Te,null,132.9109633,,750,,B-,100,,,,,0.85,2920.169,-5304.9493,-4771.4519,-4013.62
52,82,Te,4.7569,133.9113964,,2508,,B-,100,,,,,5.08,1509.6875,-4747.7685,-4826.4515,-8514.748
52,83,Te,null,134.9165547,,19,,B-,100,,,,,-0.69,6050.3894,-1756.6685,-2889.1273,-8038.458
52,84,Te,4.7815,135.9201012,,17.63,,B-,100,B-N,1.31,,,0.68,5119.9455,1282.5824,-303.6415,-9918.389
52,85,Te,null,136.9255994,,2.49,,B-,100,B-N,2.99,,,,7052.5063,2170.1444,-854.7877,-9243.37
52,86,Te,null,137.9294725,,1.4,,B-,100,B-N,6.3,,,,6283.9149,2588.9557,-1687.1519,-11045.995
52,87,Te,null,138.9353672,,1.6,,B-,100,B-N,,,,,8265.8835,3703.5113,-1997.7438,-10155.08
52,88,Te,null,139.9394871,,0.348,,B-,100,B-N,,,,,7238.7734,4032.1965,-2622,-11977.449
52,89,Te,null,140.945604,,0.193,,B-,100,B-N,,,,,9257,4865,-2945,-11130
52,90,Te,null,141.950027,,null,,,,,,,,,8253,5306,-3464,-12940
52,91,Te,null,142.956489,,0.000000408,>,B-,,B-N,,B-2N,,,10259,6201,-3645,
52,92,Te,null,143.961116,,null,,B-,100,B-2N,,B-N,,,9110,6498,-4155,
52,93,Te,null,144.967783,,null,,B-,100,B-2N,,B-N,,,11120,7249,,
53,55,I,null,107.943348,,0.036,,A,91,EC+B+,9,P,1,,-10139,,4098.6662,13010.676
53,56,I,null,108.938086,,0.0000928,,P,99.986,A,0.014,,,,-11502.9589,-23111.4668,3918.0699,10042.894
53,57,I,null,109.9350851,,0.664,,EC+B+,83,A,17,ECP,11,,-8545.2075,-22369.6156,3580.5414,11761.977
53,58,I,null,110.9302692,,2.5,,EC+B+,99.9,A,0.1,,,,-10434,-21102.4764,3274.5378,8633.692
53,59,I,null,111.9280045,,3.34,,EC+B+,100,ECP,0.88,ECA,0.104,,-7036.991,-20615,2957.0864,10504.179
53,60,I,null,112.9236501,,6.6,,EC+B+,100,A,0.000000331,,,,-8915.8902,-19164.487,2706.5541,7227.52
53,61,I,null,113.9220189,,2.1,,EC+B+,100,B+P,,,,,-5553.036,-18506.6265,2385.8939,9250.741
53,62,I,null,114.918048,,78,,EC+B+,100,,,,,,-7681.0475,-17323.224,2074.0261,5724.962
53,63,I,null,115.9168855,,2.91,,EC+B+,100,,,,,,-4373.7764,-16835.2146,1753.4036,7843.139
53,64,I,null,116.9136456,,133.2,,EC+B+,100,B+,77,,,3.1,-6253.2213,-15463.0089,1553.4816,4656.932
53,65,I,null,117.913074,,822,,EC+B+,100,,,,,2,-2891.9893,-14857.0276,1100.6441,6719.702
53,66,I,null,118.9100609,,1146,,EC+B+,100,B+,51,EC,49,2.9,-4983.2433,-13769.9824,800.7649,3404.808
53,67,I,null,119.9100937,,4896,,EC+B+,100,,,,,1.23,-1574.726,-13023.9902,649.9436,5615
53,68,I,null,120.9074115,,7632,,EC+B+,100,,,,,2.3,-3764.6525,-12144.5328,-31.0013,2297.462
53,69,I,null,121.9075901,,217.8,,EC+B+,100,,,,,0.94,-724.2937,-11669.6033,-507.994,4234
53,70,I,null,122.9055898,,47602.8,,EC+B+,100,,,,,2.818,-2694.3302,-10658.9178,-891.9643,1228.39
53,71,I,null,123.9062103,,360806.4,,EC+B+,100,,,,,1.446,302.8501,-10187.6151,-1372.3374,3159.587
53,72,I,null,124.9046306,,5132764.8,,EC,100,,,,,2.821,-1636.6632,-9239.9371,-1661.783,185.77
53,73,I,null,125.9056242,,1117152,,EC+B+,52.7,B-,47.3,,,1.438,1235.8904,-8782.4538,-2001.2077,2153.672
53,74,I,4.75,126.9044726,1,stable,,,,,,,,2.8087,-662.3336,-7908.1479,-2185.2421,-702.72
53,75,I,null,127.9058094,,1499.4,,B-,93.1,EC+B+,6.9,,,-0.72,2122.5041,-7488.465,-2543.8773,1255.764
53,76,I,null,128.9049836,,495443737801094,,B-,100,,,,,2.6165,188.8936,-6717.9599,-2676.9981,-1502.292
53,77,I,null,129.9066702,,44496,,B-,100,,,,,3.349,2944.2864,-6311.4363,-2967.9684,416.772
53,78,I,null,130.9061264,,693377.28,,B-,100,,,,,2.738,970.8477,-5633.571,-3169.3493,-2231.705
53,79,I,null,131.9079935,,8262,,B-,100,,,,,3.088,3575.4729,-5361.2448,-3498.5658,-515.305
53,80,I,null,132.9078284,,74988,,B-,100,,,,,2.856,1786.2812,-4649.6454,-3652.8335,-2920.169
53,81,I,null,133.9097757,,3150,,B-,100,,,,,,4082.3946,-4471.1748,-4182.6688,-1509.688
53,82,I,null,134.9100594,,23688,,B-,100,,,,,2.94,2634.1851,-3724.6633,-4222.6839,-6050.39
53,83,I,null,135.9146047,,83.4,,B-,100,,,,,,6883.9455,-1203.1779,-2334.8589,-5119.946
53,84,I,null,136.9180282,,24.5,,B-,100,B-N,7.14,,,,6027.1455,2001.5836,142.3287,-7052.506
53,85,I,null,137.9227264,,6.26,,B-,100,B-N,5.44,,,,7992.3346,2332.1864,-385.8215,-6283.915
53,86,I,null,138.9264934,,2.28,,B-,100,B-N,10,,,,7173.6224,3429.9624,-1205.5474,-8265.884
53,87,I,null,139.9317159,,0.86,,B-,100,B-N,7.6,,,,9380.2388,3967.0454,-1524.249,-7238.774
53,88,I,null,140.9356661,,0.418,,B-,100,B-N,21.2,,,,8270.643,4988.4776,-2291.1892,-9256.666
53,89,I,null,141.9411666,,0.222,,,,,,,,,10426.6792,5323.0214,-2578,-8252.969
53,90,I,null,142.945475,,0.13,,B-,,,,,,,9413,6369,-3165,-10260
53,91,I,null,143.951336,,0.0000003,>=,,,,,,,,11542,6801,-3365,-9110
53,92,I,null,144.955845,,0.000000407,>,B-N,,B-,,,,,10363,7671,-4015,-11120
53,93,I,null,145.961846,,0.094,,B-,100,B-2N,,B-N,,,12415,7882,-4355,
53,94,I,null,146.966505,,null,,B-,100,B-N,,B-2N,,,11199,8683,,
54,54,Xe,null,107.9542323,,0.000054,,A,100,2P,,,,,,,4569.5582,10138.643
54,55,Xe,null,108.950435,,0.013,,A,100,,,,,,,,4217.0463,11502.959
54,56,Xe,null,109.9442588,,0.093,,A,64,EC+B+,36,ECP,,,,,3872.2066,8545.208
54,57,Xe,null,110.94147,,0.74,,A,8,EC+B+,,,,,-11620,,3712.1503,10433.795
54,58,Xe,null,111.9355591,,2.7,,EC+B+,98.8,A,1.2,,,,-13612,-25198,3330.4128,7036.991
54,59,Xe,null,112.9332217,,2.74,,EC+B+,100,ECP,7,A,0.011,,-10439.0876,-23860,3086.8573,8915.891
54,60,Xe,null,113.9279803,,10,,EC+B+,100,,,,,,-12399.9706,-23392.6781,2719.006,5553.036
54,61,Xe,null,114.9262939,,18,,EC+B+,100,B+P,0.34,A,0.0003,,-8957,-22042.1471,2505.8139,7681.048
54,62,Xe,4.7211,115.921581,,59,,EC+B+,100,,,,,,-11004,-21419,2095.725,4373.777
54,63,Xe,null,116.9203588,,61,,EC+B+,100,B+P,0.0029,,,-0.5938,-7692.2462,-20214,1736.7748,6253.221
54,64,Xe,4.7387,117.9161787,,228,,EC+B+,100,,,,,,-9669.6905,-19657.2845,1385.6935,2891.989
54,65,Xe,null,118.9154106,,348,,EC+B+,100,,,,,-0.6542,-6489.4269,-18456.4296,843.3634,4983.243
54,66,Xe,4.7509,119.9117843,,2400,,EC+B+,100,,,,,,-8283.7857,-17938.6911,666.4424,1574.726
54,67,Xe,null,120.911453,,2406,,EC+B+,100,,,,,-0.701,-5378.6549,-16663.666,189.5879,3764.652
54,68,Xe,4.759,121.9083677,,72360,,EC,100,,,,,,-7210.2195,-16323.9645,-89.1461,724.294
54,69,Xe,null,122.9084822,,7380,,EC+B+,100,,,,,-0.15,-4204.6012,-15174.8072,-490.6342,2694.33
54,70,Xe,4.7661,123.9058852,0.00095,5.05E+21,>=,2B+,,,,,,,-5926.3445,-14695.0664,-730.1604,-302.85
54,71,Xe,null,124.9063876,,60840,,EC+B+,100,,,,,-0.269,-3109.6184,-13529.6184,-1081.166,1636.663
54,72,Xe,4.7722,125.9042974,0.00089,stable,,,,,,,,0.54,-4795.7039,-13127.9627,-1258.0209,-1235.891
54,73,Xe,4.7747,126.9051836,,3140294.4,,EC,100,,,,,-0.5033,-2080.8562,-12041.5183,-1574.8214,662.334
54,74,Xe,4.7774,127.9035308,0.0191,stable,,,,,,,,0.68,-3928.7617,-11691.8254,-1761.3085,-2122.504
54,75,Xe,4.7775,128.9047809,0.26401,stable,,,,,,,,-0.777961,-1197.0197,-10835.6152,-2099.1917,-188.894
54,76,Xe,4.7818,129.9035093,0.04071,stable,,,,,,,,0.9,-2980.7199,-10452.7424,-2241.2226,-2944.286
54,77,Xe,4.7808,130.9050841,0.21232,stable,,,,,,,,0.691845,-358.0009,-9585.1385,-2557.994,-970.848
54,78,Xe,4.7859,131.9041551,0.26909,stable,,,,,,,,0.2,-2126.2813,-9294.7185,-2710.0969,-3575.473
54,79,Xe,4.7831,132.9059107,,453384,,B-,100,,,,,0.81335,427.36,-8562.2079,-3063.6147,-1786.281
54,80,Xe,4.7899,133.905393,0.10436,1.83E+30,>,2B-,0,,,,,,-1234.6691,-8126.2095,-3197.7907,-4082.394
54,81,Xe,null,134.9072314,,32904,,B-,100,,,,,0.9032,1168.5917,-7593.5175,-3627.2591,-2634.185
54,82,Xe,4.7964,135.9072145,0.08857,6.83E+28,,2B-,100,,,,,3.2,-90.3151,-6918.5317,-3665.8889,-6883.945
54,83,Xe,4.8094,136.9115578,,229.08,,B-,100,,,,,-0.9704,4162.3582,-4115.8771,-1871.197,-6027.146
54,84,Xe,4.8279,137.9141463,,848.4,,B-,100,,,,,,2914.7839,-1497.79,136.5922,-7992.334
54,85,Xe,4.8409,138.9187922,,39.68,,B-,100,,,,,-0.304,5056.5023,-828.8761,-340.7117,-7173.622
54,86,Xe,4.8566,139.9216458,,13.6,,B-,100,,,,,1.1,4063.2768,-356.6911,-986.0981,-9380.238
54,87,Xe,4.8694,140.9267872,,1.73,,B-,100,B-N,0.044,,,0.01,6280.0423,781.1114,-1318.4624,-8270.643
54,88,Xe,4.8841,141.9299731,,1.23,,B-,100,B-N,0.21,,,,5284.9078,1176.3845,-1958.5697,-10426.679
54,89,Xe,4.8942,142.9353696,,0.511,,B-,100,B-N,0,,,-0.46,7472.6365,2240.356,-2422.7178,-9412.882
54,90,Xe,4.9082,143.9389451,,1.15,,B-,100,,,,,,6399.0606,2731.8992,-2929.768,-11542.301
54,91,Xe,null,144.9447196,,0.188,,B-,100,B-N,5,,,,8561.0867,3706.7067,-3249,-10363.337
54,92,Xe,4.9315,145.9485182,,0.146,,B-,100,B-N,6.9,,,,7355.4298,4028.1553,-3830,-12414.95
54,93,Xe,null,146.954482,,0.088,,B-,100,B-N,8,,,,9520,4839,-4294,-11200
54,94,Xe,null,147.958508,,0.0000004,>,B-N,,B-,,,,,8261,5199,-4854,
54,95,Xe,null,148.964573,,null,,B-,100,B-N,,B-2N,,,10300,5840,-5415,
54,96,Xe,null,149.968878,,null,,B-,100,B-2N,,B-N,,,9180,6238,,
55,57,Cs,null,111.950172,,0.00049,,P,100,A,0.26,,,,,,3931.4368,13611.348
55,58,Cs,null,112.9444285,,0.0000177,,P,100,,,,,,-12055,,3483.0508,10439.087
55,59,Cs,null,113.9412922,,0.57,,EC+B+,99.982,ECP,8.7,ECA,0.19,,-8780.4915,-23048,3356.9999,12399.971
55,60,Cs,null,114.93591,,1.4,,EC+B+,100,B+P,0.07,,,,-10779,-21865,2829,8957.757
55,61,Cs,null,115.933395,,0.7,,EC+B+,100,ECP,2.8,ECA,0.049,,-7663,-21194,2596,11003.877
55,62,Cs,null,116.9286167,,8.4,,EC+B+,100,,,,,,-9035.1943,-20185,2201.5,7692.246
55,63,Cs,4.7832,117.9265595,,14,,EC+B+,100,ECP,0.042,ECA,0.0024,3.87,-6210,-19022.7883,1804.6423,9669.69
55,64,Cs,4.7896,118.9223773,,43,,EC+B+,100,,,,,5.45,-7714.9651,-18177,1607.8276,6489.427
55,65,Cs,4.7915,119.9206773,,61.3,,EC+B+,100,B+A,0.00002,B+P,0.000007,3.86,-5000,-17369.8705,1107.0893,8283.785
55,66,Cs,4.7769,120.9172272,,155,,EC+B+,100,,,,,0.769,-6357.4948,-16285.0112,911.3106,5378.655
55,67,Cs,4.7773,121.9161081,,21.18,,EC+B+,100,,,,,0.133,-3535.817,-15471.2398,401.3719,7210.219
55,68,Cs,4.782,122.9129961,,351.6,,EC+B+,100,,,,,1.375,-5388.6934,-14506.023,309.159,4204.601
55,69,Cs,4.7828,123.9122474,,30.9,,EC+B+,100,,,,,0.672,-2651.2748,-14157.4153,-418.816,5926.345
55,70,Cs,4.788,124.909726,,2802,,EC+B+,100,,,,,1.407,-4420.7663,-13071.2747,-269.0091,3109.619
55,71,Cs,4.7872,125.9094458,,98.58,,EC+B+,100,,,,,0.776,-1680.7697,-12753.0251,-696.317,4795.704
55,72,Cs,4.7936,126.9074175,,22500,,EC+B+,100,,,,,1.457,-3422.0719,-11641.4317,-722.3549,2080.856
55,73,Cs,4.7921,127.9077485,,218.4,,EC+B+,100,,,,,0.972,-562.6171,-11185.1357,-992.1338,3928.761
55,74,Cs,4.7981,128.9060659,,115416,,EC+B+,100,,,,,1.489,-2438.1843,-10201.2125,-1087.942,1197.02
55,75,Cs,4.7992,129.9067093,,1752.6,,EC+B+,98.4,B-,1.6,,,1.458,357.0219,-9910.2069,-1414.1739,2980.72
55,76,Cs,4.8026,130.9054685,,837129.6,,EC,100,,,,,3.536,-1376.6158,-8870.1158,-1497.2732,358.001
55,77,Cs,4.8002,131.9064377,,559872,,EC+B+,98.13,B-,1.87,,,2.219,1282.2099,-8545.053,-1839.5789,2126.282
55,78,Cs,4.8041,132.905452,1,stable,,,,,,,,2.5778,-517.431,-7707.358,-1988.6828,-427.36
55,79,Cs,4.8031,133.9067185,,65171363.52,,B-,99.9997,EC,0.0003,,,2.9893,2058.8368,-7408.9714,-2379.8932,1234.669
55,80,Cs,4.8067,134.9059769,,72580929741562,,B-,100,,,,,2.7283,268.6983,-6703.2724,-2564.1451,-1168.591
55,81,Cs,4.8059,135.9073114,,1124064,,B-,100,,,,,3.705,2548.2241,-6559.5183,-3060.2693,90.315
55,82,Cs,4.8128,136.9070893,,949232333.3,,B-,100,,,,,2.8374,1175.6285,-5730.0112,-3113.3863,-4162.358
55,83,Cs,4.8255,137.9110171,,1950,,B-,100,,,,,0.699,5374.7776,-3236.9453,-1268.5042,-2914.784
55,84,Cs,4.8422,138.9133638,,556.2,,B-,100,,,,,2.688,4212.8293,-510.6007,653.1754,-5056.502
55,85,Cs,4.8554,139.9172837,,63.7,,B-,100,,,,,0.134,6218.1669,-207.1386,70.5706,-4063.277
55,86,Cs,4.8689,140.9200453,,24.84,,B-,100,B-N,0.035,,,2.431,5255.141,719.236,-545.9984,-6280.042
55,87,Cs,4.8825,141.9242995,,1.684,,B-,100,B-N,0.09,,,,7327.7007,1146.6177,-959.5625,-5284.908
55,88,Cs,4.8965,142.9273473,,1.791,,B-,100,B-N,1.64,,,0.869,6261.6865,2095.4203,-1629.4708,-7472.637
55,89,Cs,4.9055,143.9320754,,0.994,,B-,100,B-N,3.03,,,-0.545,8495.7679,2594.5252,-2090.0552,-6399.061
55,90,Cs,4.9188,144.9355289,,0.587,,B-,100,B-N,14.7,,,0.783,7461.7591,3641.3878,-2552.674,-8561.087
55,91,Cs,4.9281,145.9406219,,0.322,,B-,100,B-N,14.2,,,-0.514,9555.8882,4134.4846,-2932.3269,-7355.43
55,92,Cs,null,146.9442615,,0.2295,,B-,100,B-N,28.5,,,,8343.9631,4874.8779,-3555,-9520.073
55,93,Cs,null,147.949639,,0.146,,B-,100,B-N,25.1,,,,10633.9614,5281.7677,-4006,-8260.95
55,94,Cs,null,148.953516,,0.107,,B-,100,B-N,25,,,,9531,6174,-4594,-10300
55,95,Cs,null,149.959023,,0.084,,B-,100,B-N,20,,,,11720,6589,-5055,-9180
55,96,Cs,null,150.963199,,0.069,,B-,100,B-N,,,,,10660,7539,-5504,
55,97,Cs,null,151.968728,,0.05,>,B-,100,B-N,,B-2N,,,12480,7739,,
56,58,Ba,null,113.9507185,,0.43,,EC+B+,99.1,ECP,20,A,0.9,,,,3592.284,8780.491
56,59,Ba,null,114.947482,,0.45,,EC+B+,100,B+P,15,,,,,,3175,10779
56,60,Ba,null,115.941621,,1.3,,EC+B+,100,B+P,3,,,,-14330,,3222,7663
56,61,Ba,null,116.9383164,,1.75,,EC+B+,100,B+P,0,B+A,0,,-11187,-25479,2320.8041,9035.195
56,62,Ba,null,117.933226,,5.5,,EC+B+,100,ECP,,,,,-12580,-24000,2461,6209.377
56,63,Ba,null,118.9306597,,5.4,,EC+B+,100,ECP,25,,,,-9570,-23042,1641.7452,7714.965
56,64,Ba,4.8092,119.926045,,24,,EC+B+,100,,,,,,-11319,-21940,1733.3129,5000
56,65,Ba,4.8176,120.9240523,,29.7,,EC+B+,100,,,,,0.66,-8555,-21246,1015.5841,6357.495
56,66,Ba,4.8153,121.919904,,117,,EC+B+,100,,,,,,-10066,-20490,1045.1996,3535.817
56,67,Ba,4.8135,122.9187811,,144,,EC+B+,100,,,,,,-7004,-19183,714.6091,5388.694
56,68,Ba,4.8185,123.9150936,,660,,EC+B+,100,,,,,,-8831.1685,-18510,657.7328,2651.274
56,69,Ba,4.8177,124.9144718,,198,,EC+B+,100,,,,,0.177,-5909.4836,-17481.6769,387.1047,4420.766
56,70,Ba,4.8221,125.9112502,,6000,,EC+B+,100,,,,,,-7696.4376,-16981.7389,260.159,1680.77
56,71,Ba,4.8204,126.9110913,,762,,EC+B+,100,,,,,0.0834,-4921.8386,-15915.7974,5.3868,3422.072
56,72,Ba,4.8255,127.9083524,,209952,,EC,100,,,,,,-6743.7167,-15544.3572,-126.6665,562.617
56,73,Ba,4.8248,128.9086834,,8028,,EC+B+,100,,,,,-0.398,-3737.3247,-14506.7449,-286.4209,2438.184
56,74,Ba,4.8283,129.906326,0.0011,stable,,,,,,,,,-5629.4021,-14004.5534,-535.3054,-357.022
56,75,Ba,4.8276,130.9069463,,993600,,EC+B+,100,,,,,0.7083,-2909.6936,-13122.9021,-782.991,1376.616
56,76,Ba,4.8303,131.9050612,0.001,9.47E+28,>,2B+,,,,,,-1.59,-4711.3256,-12736.9565,-999.2847,-1282.21
56,77,Ba,4.8286,132.9060074,,332957126,,EC,100,,,,,0.7719,-2059.1203,-11901.2525,-1282.3581,517.431
56,78,Ba,4.8322,133.9045082,0.0242,stable,,,,,,,,,-3731.3434,-11526.9285,-1494.4436,-2058.837
56,79,Ba,4.8294,134.9056884,0.0659,stable,,,,,,,,0.8381,-1207.1973,-10703.3141,-1861.9957,-268.699
56,80,Ba,4.8334,135.9045758,0.0785,stable,,,,,,,,-1.9,-2849.5915,-10314.9397,-2033.0205,-2548.224
56,81,Ba,4.8314,136.9058272,0.1123,stable,,,,,,,,0.9375,-580.5356,-9755.2312,-2502.7336,-1175.629
56,82,Ba,4.8378,137.9052471,0.717,stable,,,,,,,,5.9,-1748.3977,-9192.2586,-2560.8872,-5374.778
56,83,Ba,4.8513,138.9088412,,4975.8,,B-,100,,,,,-0.973,2308.4632,-6471.8276,-925.4687,-4212.83
56,84,Ba,4.8684,139.9106082,,1101686.4,,B-,100,,,,,,1044.1542,-4116.8423,736.3492,-6218.167
56,85,Ba,4.8807,140.9144037,,1096.2,,B-,100,,,,,-0.337,3197.3515,-3491.7508,226.0061,-5255.141
56,86,Ba,4.8953,141.9164329,,636,,B-,100,,,,,0.85,2181.6932,-2983.7314,-294.9286,-7327.701
56,87,Ba,4.9087,142.9206251,,14.5,,B-,100,,,,,0.443,4234.2623,-1984.5731,-717.5349,-6261.686
56,88,Ba,4.9236,143.9229548,,11.5,,B-,100,,,,,0.68,3082.53,-1666.9804,-1205.5842,-8495.768
56,89,Ba,4.9345,144.9275184,,4.31,,B-,100,,,,,-0.285,5319.1425,-737.8413,-1743.7901,-7461.759
56,90,Ba,4.9479,145.9303632,,2.21,,B-,100,,,,,,4354.9052,-102.2611,-2061.5359,-9555.889
56,91,Ba,null,146.9353039,,0.894,,B-,100,B-N,0.06,,,,6414.3615,885.8201,-2486.0693,-8343.963
56,92,Ba,4.9731,147.938223,,0.612,,B-,100,B-N,0.4,,,,5163.8307,1062.1679,-3097.5257,-10633.961
56,93,Ba,null,148.943284,,0.352,,B-,100,B-N,2.2,,,,7389.301,1806.8043,-3762.1983,-9530.62
56,94,Ba,null,149.9464411,,0.259,,B-,100,B-N,,,,,6421.3477,2258.803,-4359.7649,-11719.799
56,95,Ba,null,150.951755,,0.167,,B-,100,B-N,,,,,8370,3300,-4965,-10660
56,96,Ba,null,151.95533,,0.139,,B-,100,B-N,,,,,7680,3629,-5385,-12480
56,97,Ba,null,152.960848,,0.116,,B-,100,B-N,,,,,9590,4749,-5895,
56,98,Ba,null,153.964659,,0.053,,B-,100,B-N,,,,,8610,5068,-6355,
57,60,La,null,116.950326,,0.0235,,P,93.9,EC+B+,6.1,,,,,,3069,11186.906
57,63,La,null,119.938196,,2.8,,EC+B+,100,ECP,0,,,,-7840,-21821,2048,11318.649
57,64,La,null,120.933236,,5.3,,EC+B+,100,,,,,,-9500,-20532,1878,8554.847
57,65,La,null,121.93071,,8.6,,EC+B+,100,ECP,,,,,-6669,-19925,1441,10065.952
57,66,La,null,122.9263,,16.3,,EC+B+,100,,,,,,-8365,-18849,1229,7003.963
57,67,La,null,123.9245743,,21,,EC+B+,100,,,,,,-5343,-18044,1205.1156,8831.169
57,68,La,null,124.9208159,,64.8,,EC+B+,100,,,,,,-7102,-16915,917.9334,5909.484
57,69,La,null,125.9195127,,54,,EC+B+,0,,,,,,-4152.9106,-16387,746.3771,7696.437
57,70,La,null,126.9163751,,306,,EC+B+,100,,,,,,-5916.7727,-15146.8694,722.6242,4921.839
57,71,La,null,127.9155921,,310.8,,EC,100,,,,,,-3091.5136,-14717.4132,690.7057,6743.717
57,72,La,null,128.9126956,,696,,EC+B+,100,,,,,,-5036.037,-13860.9338,341.2854,3737.325
57,73,La,null,129.9123694,,522,,EC+B+,100,,,,,2.9,-2204.4611,-13411.1883,298.3928,5629.402
57,74,La,null,130.91007,,3540,,EC+B+,100,,,,,11.2,-4060.8167,-12417.6695,45.8464,2909.693
57,75,La,null,131.910119,,17280,,EC+B+,100,,,,,,-1254.8898,-12086.4476,-216.7208,4711.325
57,76,La,null,132.908218,,14083.2,,EC+B+,100,,,,,7.5,-3076.1685,-11097.0221,-420.2576,2059.12
57,77,La,null,133.908514,,387,,EC+B+,100,,,,,,-385.7605,-10871.7536,-743.8201,3731.343
57,78,La,4.8488,134.9069844,,70200,,EC+B+,100,,,,,3.7,-2027.1499,-9881.8773,-1012.7993,1207.197
57,79,La,null,135.907635,,592.2,,EC+B+,100,,,,,,471.0621,-9492.4982,-1309.7104,2849.591
57,80,La,4.8496,136.9064504,,1893415558476,,EC,100,,,,,2.696,-1222.1,-8703.6335,-1494.8381,580.536
57,81,La,4.8473,137.907124,0.0008881,3.25E+18,,EC+B+,65.5,B-,34.5,,,3.7084,1052.4585,-8665.9609,-2047.1586,1748.398
57,82,La,4.855,138.9063629,0.9991119,stable,,,,,,,,2.7791,-264.6396,-7727.8323,-2065.3402,-2308.463
57,83,La,null,139.9094873,,145029.312,,B-,100,,,,,0.73,3762.1676,-5425.6361,-398.1202,-1044.154
57,84,La,null,140.9109712,,14112,,B-,100,,,,,,2501.2141,-2926.9347,1191.0128,-3197.352
57,85,La,null,141.9140908,,5466,,B-,100,,,,,,4508.9455,-2664.2105,438.1621,-2181.693
57,86,La,null,142.9160795,,852,,B-,100,,,,,,3434.9108,-1709.8899,104.705,-4234.262
57,87,La,null,143.9196456,,40.8,,B-,100,,,,,,5582.2823,-1314.5995,-224.8374,-3082.53
57,88,La,null,144.9218081,,24.8,,B-,100,,,,,,4231.7331,-474.7015,-782.8903,-5319.142
57,89,La,null,145.925688,,6.1,,B-,100,B-N,0.007,,,,6404.6947,-225.4332,-1131.5333,-4354.905
57,90,La,null,146.9284178,,4.06,,B-,100,B-N,0.041,,,,5335.5046,876.1533,-1427.7944,-6414.361
57,91,La,null,147.9326794,,1.26,,B-,100,B-N,0.15,,,,7689.6824,1233.8418,-1862.2958,-5163.831
57,92,La,null,148.9353513,,1.091,,B-,100,B-N,1.41,,,,6450,2107.1856,-2590.4126,-7389.301
57,93,La,null,149.9395475,,0.59,,B-,100,B-N,2.7,,,,8535.7155,2287.4553,-3425.6828,-6421.348
57,94,La,null,150.942769,,0.457,,B-,100,B-N,,,,,7914.7191,3465.2057,-3815.1823,-8370.339
57,95,La,null,151.947085,,0.298,,B-,100,B-N,,,,,9690,3864,-4804,-7680
57,96,La,null,152.950553,,0.245,,B-,100,B-N,,,,,8850,4849,-5185,-9590
57,97,La,null,153.955416,,0.161,,B-,100,B-N,,,,,10690,5309,-5785,-8610
57,98,La,null,154.95928,,0.101,,B-,100,B-N,,,,,9850,6218,-6075,
57,99,La,null,155.964519,,0.084,,B-,100,B-N,,,,,11769,6658,-6346,
57,100,La,null,156.968792,,null,,B-,100,B-N,,B-2N,,,10860,7678,,
58,63,Ce,null,120.943435,,1.1,,EC+B+,100,ECP,1,,,,-11139,,2343,9500
58,64,Ce,null,121.93787,,null,,EC+B+,,ECP,,,,,-13094,-24394,1901,6669
58,65,Ce,null,122.93528,,3.8,,EC+B+,100,ECP,0,,,,-10056,-23578,1879,8365
58,66,Ce,null,123.93031,,6,,EC+B+,100,,,,,,-11765,-22757,1548,5342.617
58,67,Ce,null,124.92844,,9.7,,EC+B+,100,B+P,,,,,-8587,-21578,1662,7101.492
58,68,Ce,null,125.923971,,51,,EC+B+,100,,,,,7,-10497,-20822,1363.4706,4152.911
58,69,Ce,null,126.922727,,34,,EC+B+,100,,,,,,-7436,-19727,1250.7035,5916.772
58,70,Ce,null,127.918911,,235.8,,EC+B+,100,,,,,,-9203.1617,-19062,1130.9445,3091.514
58,71,Ce,null,128.918102,,210,,EC+B+,100,,,,,-0.65,-6513.9383,-18028.0585,956.556,5036.037
58,72,Ce,null,129.914736,,1374,,EC+B+,100,,,,,,-8247.4488,-17720.6655,822.0842,2204.461
