# Original data is from the International Atomic Energy Agency (IAEA) Nuclear Data Services (https://www-nds.iaea.org). The data was processed by speedydelete.
z,n,symbol,radius,mass,abundance,halfLife,halfLifeOperator,decay1,decay1Prob,decay2,decay2Prob,decay3,decay3Prob,magneticDipoleMoment,betaMinusEnergy,neutronEnergy,alphaEnergy,electronCaptureEnergy
11,16,Na,3.0136,26.99407641,,0.301,,B-,100,B-N,0.13,,,3.895,9068.8037,2625.435,-11227.9698,-12568.701
11,17,Na,3.04,27.998939,,0.0305,,B-,100,B-N,0.58,,,2.426,14031.6303,5526.9609,-10957.747,-12288.053
11,18,Na,3.0922,29.00287709,,0.0441,,B-,100,B-N,21.5,,,2.449,13292.3538,9628.6213,-11079.0889,-15719.809
11,19,Na,3.118,30.00909793,,0.048,,B-,100,B-N,30,B-2N,1.15,2.083,17356.0423,11015.7117,-12624.9011,-14805.45
11,20,Na,3.1704,31.01314665,,0.017,,B-,100,B-N,39,B-2N,0.7,2.305,15368.1833,13056.0859,-15312.3624,-18935.563
11,21,Na,null,32.02001102,,0.0132,,B-,100,B-N,24,B-2N,8.3,,19469.0523,13690.9853,-17188.5604,-18358.848
11,22,Na,null,33.025529,,0.008,,B-,100,B-N,47,B-2N,13,,18817.24,16537.6956,-18794.9932,-22349.887
11,23,Na,null,34.03401,,0.0055,,B-,100,B-2N,50,B-N,15,,23356.7903,18645.9235,-19705,-21161.886
11,24,Na,null,35.040614,,0.0018,,B-,100,B-N,0,B-5N,,,22192,21437,-21436,
11,25,Na,null,36.049279,,0.00000018,<,N,,,,,,,25523,22192,,
11,26,Na,null,37.057042,,0.00000006,>,B-,,B-N,,,,,24923,24683,,
12,6,Mg,null,null,,3.80E-21,,2P,100,,,,,,,,,
12,7,Mg,null,19.03417992,,0,,2P,100,,,,,,,,-10801.8956,18909.01
12,8,Mg,null,20.01876308,,0.0904,,B+,100,B+P,30.3,,,,,,-8933.997,10627.205
12,9,Mg,null,21.01170576,,0.122,,EC+B+,100,B+P,32.6,B+A,0.5,-0.983,-16186,,-8021.5172,13088.708
12,10,Mg,null,21.9995706,,3.8755,,EC+B+,100,,,,,,-18601,-35561,-8142.5196,4781.405
12,11,Mg,null,22.99412377,,11.3046,,EC+B+,100,,,,,-0.5363,-12221.7457,-31746,-9650.644,4056.179
12,12,Mg,3.057,23.98504169,0.78965,stable,,,,,,,,1.08,-13884.766,-28752.9673,-9316.5618,-5515.677
12,13,Mg,3.0284,24.98583697,0.10011,stable,,,,,,,,-0.85533,-4276.808,-21215.2879,-9885.9215,-3834.968
12,14,Mg,3.0337,25.98259297,0.11025,stable,,,,,,,,1.1,-4004.4042,-15369.8877,-10614.7437,-9353.764
12,15,Mg,null,26.98434065,,567.48,,B-,100,,,,,-0.4106,2610.2694,-10447.7728,-11857.4651,-9068.803
12,16,Mg,null,27.98387543,,75294,,B-,100,,,,,,1830.774,-5894.4,-11493.219,-14031.631
12,17,Mg,null,28.98860716,,1.3,,B-,100,,,,,0.9779,7595.4023,-1832.9586,-11001.7729,-13292.354
12,18,Mg,null,29.99046545,,0.335,,B-,100,,,,,,6982.744,1255.0717,-11787.402,-17356.043
12,19,Mg,null,30.99664823,,0.27,,B-,100,B-N,6.2,,,-0.8834,11828.5569,4670.6466,-12597.9777,-15368.183
12,20,Mg,null,31.99911014,,0.086,,B-,100,B-N,5.5,,,,10270.4677,6050.4899,-14553.5547,-19469.053
12,21,Mg,null,33.00532786,,0.0905,,B-,100,B-N,14,,,-0.7455,13460.255,7990.9232,-15861.846,-18817.24
12,22,Mg,null,34.00893546,,0.02,,B-,100,B-N,,,,,11320.9428,8749.3881,-17381.7116,-23356.79
12,23,Mg,null,35.01679,,0.0113,,B-,100,B-N,52,B-3N,,,15863.5156,10566.0866,-17966.7238,-22191.214
12,24,Mg,null,36.021879,,0.0076,,B-,100,B-N,,,,,14429.7751,12532.5711,-19044,-25522.841
12,25,Mg,null,37.03028627,,0.008,,N,,B-N,,B-,,,18401.9132,14189.7752,-20344,-24922.522
12,26,Mg,null,38.03658,,null,,B-,100,B-N,,B-2N,,,17604,16193,-21192,
12,27,Mg,null,39.045921,,0.00000018,<,N,,,,,,,21286,18234,,
12,28,Mg,null,40.053194,,null,,B-,100,B-7N,,B-6N,,,20729,19989,,
13,8,Al,null,21.029082,,0.000000035,<,P,,,,,,,,,-10055,16186.149
13,9,Al,null,22.01954,,0.0911,,EC+B+,100,B+P,55,B+2P,1.1,,-15439,,-9262,18600.986
13,10,Al,null,23.00724435,,0.446,,EC+B+,100,ECP,1.04,,,3.89,-17202,-34963,-8606.2292,12221.746
13,11,Al,null,23.9999476,,2.053,,EC+B+,100,ECA,0.035,ECP,0.0016,2.99,-10793.9978,-32070,-9324.2165,13884.766
13,12,Al,null,24.99042831,,7.183,,EC+B+,100,,,,,3.6447,-12743.2956,-27732.4776,-9156.0324,4276.808
13,13,Al,null,25.98689188,,22626315923782,,EC+B+,100,,,,,2.803,-5069.1361,-24108.7792,-9453.6638,4004.405
